date_utc,source,title,evidence
2025-08-06T14:41:35+00:00,https://x.com/k7agar/status/1953104167482085578,Sim-to-real failed attempt,Real hardware; explicitly pure sim-to-real RL; speed unspecified
2025-08-06T15:49:15+00:00,https://x.com/k7agar/status/1953121197300044173,Sim-to-real progress,Real hardware; same-day follow-up; speed unspecified
2025-08-07T14:59:13+00:00,https://x.com/k7agar/status/1953470993558900803,RL cube pickup,Real hardware; author confirms reinforcement learning; speed unspecified
2025-09-12T16:20:52+00:00,https://x.com/k7agar/status/1966537506393903454,Cats and 3D printing,Craft / personal
2025-09-18T18:03:14+00:00,https://x.com/k7agar/status/1968737592662249956,LeRobot experiment,Credits LeRobot team; controller needs verification
2025-10-05T16:21:07+00:00,https://x.com/k7agar/status/1974872488170438890,Hard rock robotics,Hardware/music experiment; controller unverified
2025-11-03T14:06:27+00:00,https://x.com/k7agar/status/1985347847815065911,Robots,Hardware clip; method unverified
2025-11-08T18:22:30+00:00,https://x.com/k7agar/status/1987224223392411954,Behavioral cloning,Real hardware policy rollout; Prime Intellect compute credit
2025-11-15T16:23:52+00:00,https://x.com/k7agar/status/1989731085501304998,Egocentric-10K hand reconstruction,HaMeR visualization on Build AI data; no robot rollout
2025-11-20T20:11:08+00:00,https://x.com/k7agar/status/1991600216341115367,ESP32 kits,Craft hardware / teaching
2025-12-05T15:59:09+00:00,https://x.com/k7agar/status/1996972620504313906,Listening to music,Experiment; context unverified
2026-03-29T12:22:46+00:00,https://x.com/k7agar/status/2038230382886494550,MacBook harmonium,Credits @spr4bhu; Craft
2026-04-12T12:56:48+00:00,https://x.com/k7agar/status/2043312379258446131,robodal policy-serving benchmark,π0 on Modal; ALOHA simulation; code linked; hardware future work
2026-05-08T00:29:36+00:00,https://x.com/k7agar/status/2052546425620406743,MolmoAct 2 deployment,Ai2 model on own hardware; 2×; limited out-of-box capability
2026-07-24T07:11:41+00:00,https://x.com/k7agar/status/2080551476041228335,Patch Policy reproduction,"Push-T simulation; own reproduction, external original paper"
2026-07-26T09:39:41+00:00,https://x.com/k7agar/status/2081313497741447559,Patch Policy hardware rollout,M3 Pro inference; X speed unspecified; repo GIF separately 2×
2026-08-06T17:26:19+00:00,https://x.com/k7agar/status/2085417196839452778,Physical Atari RL,External camera / physical actuation; collaboration
2026-08-07T03:57:54+00:00,https://x.com/k7agar/status/2085576138961907900,Physical Atari follow-up,Credits @4rynv @sahilsapage @LakshyaLalwani7; external camera verified
2026-08-27T12:55:12+00:00,https://x.com/k7agar/status/2092959111843578262,Zero-shot towel-folding attempt,RL next is a plan; exact model/speed unverified
2026-09-01T16:04:36+00:00,https://x.com/k7agar/status/2094818716433465631,π0.5 T-shirt folding,Real hardware; unseen environment; 4× in author reply
2026-09-06T13:24:52+00:00,https://x.com/k7agar/status/2096590458369810679,Astra stands a block upright,With Sujal; camera/joint-angle interface; repeatability described as mixed
2026-09-06T13:37:34+00:00,https://x.com/k7agar/status/2096593654320341027,Astra table wiping,Sustained task experiment; AGI speculation is not an achieved result
2026-09-06T14:07:37+00:00,https://x.com/k7agar/status/2096601215652249753,Folding then undoing progress,Real hardware; head + wrist views; speed unanswered
2026-09-07T17:29:36+00:00,https://x.com/k7agar/status/2097014434745201002,Cloth folding,With Tirth Gada; exact setup/speed unverified
2026-09-09T18:14:04+00:00,https://x.com/k7agar/status/2097750401789685824,Human video → storyboard → robot action,Experimental pipeline; method/speed needs fuller documentation
2026-09-12T14:35:33+00:00,https://x.com/k7agar/status/2098782572247703814,UMI-style gripper test,Human-operated hardware interface; inspiration YosubShin/yam-umi
2026-09-13T10:18:47+00:00,https://x.com/k7agar/status/2099080341210452400,UMI build timelapse,Explicit timelapse; speed factor unspecified
